,long_name,short_name,short_loc,league,
St.Johnstone,St.Johnstone,St.Johnstone,,,Scottish Premier
St.Mirren,St.Mirren,St.Mirren,,,Scottish Premier
Amkar Perm,Amkar Perm,Amkar Perm,,,Russian Premier
Anzhi Makhachkala,Anzhi Makhachkala,,,,Russian Premier
CSKA Moscow,CSKA Moscow,CSKA Moscow,,,Russian Premier
FC Alania Vladikavkaz,FC Alania Vladikavkaz,,,,Russian Premier
Dynamo Moscow,Dynamo Moscow,Dynamo Moscow,,,Russian Premier
Moscow,Moscow,Moscow,,,Russian Premier
Rostov,Rostov,Rostov,,,Russian Premier
Spartak Moscow,Spartak Moscow,Spartak Moscow,,,Russian Premier
Krylia Sovetov Samara,Krylia Sovetov Samara,,,,Russian Premier
Lokomotiv Moscow,Lokomotiv Moscow,Lokomotiv Moscow,,,Russian Premier
Rubin Kazan,Rubin Kazan,Rubin Kazan,,,Russian Premier
Saturn Moscow Oblast,Saturn Moscow Oblast,,,,Russian Premier
Sibir Novosibirsk,Sibir Novosibirsk,Sibir Novosibirsk,,,Russian Premier
Spartak Nalchik,Spartak Nalchik,Spartak Nalchik,,,Russian Premier
Terek Grozny,Terek Grozny,Terek Grozny,,,Russian Premier
Tom Tomsk,Tom Tomsk,Tom Tomsk,,,Russian Premier
Zenit St Petersburg,Zenit St Petersburg,Zenit St Petersburg,,,Russian Premier
Argentinos Juniors,Argentinos Juniors,Argentinos Juniors,,,Argentina Premier
 Atlético Tucumán, Atlético Tucumán, Atlético Tucumán,,,Argentina Premier
Arsenal de Sarandi,Arsenal de Sarandi,Arsenal de Sarandi,,,Argentina Premier
Banfield,Banfield,Banfield,,,Argentina Premier
Boca Juniors,Boca Juniors,Boca Juniors,,,Argentina Premier
Chacarita Juniors,Chacarita Juniors,Chacarita Juniors,,,Argentina Premier
Colon,Colon,Colon,,,Argentina Premier
Estudiantes,Estudiantes,Estudiantes,,,Argentina Premier
Gimnasia y Esgrima La Plata,Gimnasia y Esgrima La Plata,,,,Argentina Premier
Godoy Cruz,Godoy Cruz,Godoy Cruz,,,Argentina Premier
Huracan,Huracan,Huracan,,,Argentina Premier
Independiente,Independiente,Independiente,,,Argentina Premier
Lanus,Lanus,Lanus,,,Argentina Premier
Newell's Old Boys,Newell's Old Boys,Newell's Old Boys,,,Argentina Premier
Racing Club,Racing Club,Racing Club,,,Argentina Premier
River Plater,River Plater,River Plater,,,Argentina Premier
Rosario Central,Rosario Central,Rosario Central,,,Argentina Premier
San Lorenzo de Almagro,San Lorenzo de Almagro,,,,Argentina Premier
Tigres ,Tigres ,Tigres ,,,Argentina Premier
Vélez Sársfield,Vélez Sársfield,Vélez Sársfield,,,Argentina Premier
